3.000000000000000000e+00,2.000000000000000000e+00
2.965926000000000062e+00,2.647047999999999845e+00
2.866025000000000045e+00,3.250000000000000000e+00
2.707107000000000152e+00,3.767767000000000088e+00
2.500000000000000000e+00,4.165064000000000100e+00
2.258818999999999910e+00,4.414814999999999934e+00
2.000000000000000000e+00,4.500000000000000000e+00
1.741181000000000090e+00,4.414814999999999934e+00
1.500000000000000000e+00,4.165064000000000100e+00
1.292892999999999848e+00,3.767767000000000088e+00
1.133974999999999955e+00,3.250000000000000000e+00
1.034073999999999938e+00,2.647047999999999845e+00
1.000000000000000000e+00,2.000000000000000000e+00
1.034073999999999938e+00,1.352952000000000155e+00
1.133974999999999955e+00,7.500000000000000000e-01
1.292892999999999848e+00,2.322329999999999117e-01
1.500000000000000000e+00,-1.650640000000000995e-01
1.741181000000000090e+00,-4.148149999999999338e-01
2.000000000000000000e+00,-5.000000000000000000e-01
2.258818999999999910e+00,-4.148149999999999338e-01
2.500000000000000000e+00,-1.650640000000000995e-01
2.707107000000000152e+00,2.322329999999999117e-01
2.866025000000000045e+00,7.500000000000000000e-01
2.965926000000000062e+00,1.352952000000000155e+00
3.000000000000000000e+00,2.000000000000000000e+00
