263,215,278,235
197,82,202,78
495,107,446,76
370,161,432,231
67,244,118,231
55,21,30,5
149,191,193,196
474,304,459,326
281,44,326,89
157,124,162,124
258,134,269,154
40,269,73,274
322,204,347,236
108,73,102,89
496,137,440,156
397,215,403,295
299,291,298,304
375,63,424,33
220,127,220,132
312,151,326,158
267,8,302,9
50,155,95,173
171,240,185,251
231,79,256,105
481,272,458,278
217,42,214,50
100,17,104,11
355,272,372,293
197,127,195,142
428,148,430,129
156,319,153,308
24,67,36,55
472,29,443,21
42,245,92,246
451,297,424,321
495,55,500,42
358,145,394,202
226,290,244,296
219,147,238,153
487,289,486,320
363,112,373,85
279,181,290,185
333,248,340,283
294,247,287,264
110,164,160,155
14,256,19,275
117,183,137,185
254,68,260,65
213,260,210,252
505,201,439,251
132,219,207,208
467,187,453,194
150,17,166,78
503,265,441,296
171,60,167,99
412,75,433,99
217,93,214,105
307,25,335,9
289,125,291,162
357,10,418,10
134,278,151,250
235,20,245,6
81,209,93,203
224,190,243,195
95,118,99,111
226,242,258,243
506,235,508,251
369,237,376,255
504,176,507,176
435,192,435,211
178,97,190,110
179,136,201,158
210,308,265,302
54,62,38,23
109,224,139,232
253,34,232,58
476,155,436,174
410,279,412,321
44,216,94,224
324,160,329,178
288,96,329,125
95,46,101,54
192,19,192,55
52,103,96,150
469,76,444,54
210,172,213,183
97,292,88,294
243,96,257,133
318,56,442,10
357,162,369,221
479,248,435,271
123,21,144,118
214,20,222,33
469,113,438,115
299,222,314,260
150,41,155,54
481,208,455,238
24,211,73,219
407,235,406,270
213,221,231,230
