317,237,327,240
344,261,340,266
651,286,653,288
759,270,757,276
523,308,533,308
270,22,278,16
360,245,356,249
357,227,358,227
692,404,691,411
359,266,355,259
446,38,453,36
760,160,754,153
715,417,715,420
713,401,717,400
661,249,665,248
358,203,352,205
721,196,728,196
329,18,337,19
250,27,254,35
721,178,726,177
349,168,341,174
748,217,745,214
179,199,179,204
702,414,706,415
702,414,706,415
344,233,336,237
754,196,760,192
754,196,760,192
702,65,706,65
723,233,726,230
759,289,758,292
350,240,344,241
759,289,758,292
354,255,346,255
367,246,366,251
724,252,730,250
360,252,362,251
333,254,330,251
344,257,339,252
344,257,339,252
360,252,360,254
367,255,366,257
355,248,346,246
370,253,367,260
245,37,240,41
729,415,737,420
338,225,341,224
325,261,325,261
726,160,727,159
446,38,445,40
477,340,475,345
758,251,753,244
709,391,714,387
363,174,358,180
